iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__fit_intercept,param_model__intercept_scaling,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.003639078140258789,0.002669876167337935,0.0016226530075073241,0.00013226862196225104,0.1,0.1,True,0.5,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': True, 'model__intercept_scaling': 0.5}",-1783010.6203173036,-662841.2073257244,-7180768.40685207,-10212204.46888272,-7589371.664597587,-2778923.489947293,-2023189.330457422,-9738739.819339931,-3895892.327484537,-21513320.528856725,-6737826.186406131,5897001.668220359,349,-7034504.3340575555,-7322076.91270423,-7852956.88308013,-6710450.785499791,-4778610.177787567,-5292869.137906614,-4648056.975060794,-6816342.165057013,-8498381.51448143,-5808926.603624073,-6476317.548925919,1234985.9471701982
0,28,0.006377029418945313,0.007171044204246961,0.0016788721084594726,0.00017414332120001797,0.1,0.1,True,1,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': True, 'model__intercept_scaling': 1}",-1783008.7453173036,-662839.3323257244,-7180766.53185207,-10212202.59388272,-7589369.789597587,-2778921.614947293,-2023187.455457422,-9738737.944339931,-3895890.452484537,-21513318.653856725,-6737824.311406131,5897001.668220359,344,-7034502.4590575555,-7322075.03770423,-7852955.00808013,-6710448.910499791,-4778608.302787567,-5292867.262906614,-4648055.100060794,-6816340.290057013,-8498379.63948143,-5808924.728624073,-6476315.673925919,1234985.9471701982
0,28,0.007852935791015625,0.012069223698273086,0.0035493135452270507,0.006021338565469684,0.1,0.1,True,2,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': True, 'model__intercept_scaling': 2}",-1783001.2453173036,-662831.8323257244,-7180759.03185207,-10212195.09388272,-7589362.289597587,-2778914.114947293,-2023179.955457422,-9738730.444339931,-3895882.952484537,-21513311.153856725,-6737816.811406131,5897001.668220359,339,-7034494.9590575555,-7322067.53770423,-7852947.50808013,-6710441.410499791,-4778600.802787567,-5292859.762906614,-4648047.600060794,-6816332.790057013,-8498372.13948143,-5808917.228624073,-6476308.173925919,1234985.9471701982
0,28,0.010483837127685547,0.01797628839565044,0.00887901782989502,0.019789951693105597,0.1,0.1,True,3,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': True, 'model__intercept_scaling': 3}",-1782988.7453173036,-662819.3323257244,-7180746.53185207,-10212182.59388272,-7589349.789597587,-2778901.614947293,-2023167.455457422,-9738717.944339931,-3895870.452484537,-21513298.653856725,-6737804.311406131,5897001.668220359,304,-7034482.4590575555,-7322055.03770423,-7852935.00808013,-6710428.910499791,-4778588.302787567,-5292847.262906614,-4648035.100060794,-6816320.290057013,-8498359.63948143,-5808904.728624073,-6476295.673925919,1234985.9471701982
0,28,0.0027314186096191405,0.00030256291261825265,0.0015654325485229491,5.5538066370591066e-05,0.1,0.1,True,5,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': True, 'model__intercept_scaling': 5}",-1782948.7453173036,-662779.3323257244,-7180706.53185207,-10212142.59388272,-7589309.789597587,-2778861.614947293,-2023127.455457422,-9738677.944339931,-3895830.452484537,-21513258.653856725,-6737764.311406131,5897001.668220359,259,-7034442.4590575555,-7322015.03770423,-7852895.00808013,-6710388.910499791,-4778548.302787567,-5292807.262906614,-4647995.100060794,-6816280.290057013,-8498319.63948143,-5808864.728624073,-6476255.673925919,1234985.9471701982
0,28,0.0026333808898925783,0.0002154038382619081,0.0015334129333496095,2.7561888966335253e-05,0.1,0.1,False,0.5,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': False, 'model__intercept_scaling': 0.5}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.0027421236038208006,0.0004349171317651075,0.0015488862991333008,4.2024783062392594e-05,0.1,0.1,False,1,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': False, 'model__intercept_scaling': 1}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.004506707191467285,0.005562302957161019,0.002609515190124512,0.0031262540893482187,0.1,0.1,False,2,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': False, 'model__intercept_scaling': 2}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.0032881498336791992,0.0018964456405439177,0.0029219627380371095,0.004064253392065085,0.1,0.1,False,3,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': False, 'model__intercept_scaling': 3}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.0028322219848632814,0.0007227001198768295,0.018334317207336425,0.05035157350185204,0.1,0.1,False,5,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__fit_intercept': False, 'model__intercept_scaling': 5}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.007875394821166993,0.015364964967903516,0.006191873550415039,0.01378098981372641,0.1,0.2,True,0.5,"{'model__C': 0.1, 'model__epsilon': 0.2, 'model__fit_intercept': True, 'model__intercept_scaling': 0.5}",-1783010.6203173036,-662841.2073257244,-7180768.40685207,-10212204.46888272,-7589371.664597587,-2778923.489947293,-2023189.330457422,-9738739.819339931,-3895892.327484537,-21513320.528856725,-6737826.186406131,5897001.668220359,349,-7034504.3340575555,-7322076.91270423,-7852956.88308013,-6710450.785499791,-4778610.177787567,-5292869.137906614,-4648056.975060794,-6816342.165057013,-8498381.51448143,-5808926.603624073,-6476317.548925919,1234985.9471701982
0,28,0.021755218505859375,0.038296400287312966,0.01204509735107422,0.03130587148442958,0.1,0.2,True,1,"{'model__C': 0.1, 'model__epsilon': 0.2, 'model__fit_intercept': True, 'model__intercept_scaling': 1}",-1783008.7453173036,-662839.3323257244,-7180766.53185207,-10212202.59388272,-7589369.789597587,-2778921.614947293,-2023187.455457422,-9738737.944339931,-3895890.452484537,-21513318.653856725,-6737824.311406131,5897001.668220359,344,-7034502.4590575555,-7322075.03770423,-7852955.00808013,-6710448.910499791,-4778608.302787567,-5292867.262906614,-4648055.100060794,-6816340.290057013,-8498379.63948143,-5808924.728624073,-6476315.673925919,1234985.9471701982
0,28,0.0044746875762939455,0.0048167774581991864,0.0024016857147216796,0.002478588701142239,0.1,0.2,True,2,"{'model__C': 0.1, 'model__epsilon': 0.2, 'model__fit_intercept': True, 'model__intercept_scaling': 2}",-1783001.2453173036,-662831.8323257244,-7180759.03185207,-10212195.09388272,-7589362.289597587,-2778914.114947293,-2023179.955457422,-9738730.444339931,-3895882.952484537,-21513311.153856725,-6737816.811406131,5897001.668220359,339,-7034494.9590575555,-7322067.53770423,-7852947.50808013,-6710441.410499791,-4778600.802787567,-5292859.762906614,-4648047.600060794,-6816332.790057013,-8498372.13948143,-5808917.228624073,-6476308.173925919,1234985.9471701982
